"","location_name","val","upper","lower","location"
"112","Antigua and Barbuda",2408.16,3126.35,1801.12,"Antigua"
"113","United Kingdom of Great Britain and Northern Ireland",5200.99,6124.95,4457.25,"UK"
"114","Republic of Tunisia",7022.12,9308.89,5298.25,"Tunisia"
"115","Kingdom of Saudi Arabia",4404.24,5775.8,3298.36,"Saudi Arabia"
"116","Kingdom of Morocco",5968.65,7689.98,4457.14,"Morocco"
"117","Republic of Djibouti",4750.84,6169.82,3654.28,"Djibouti"
"118","Republic of Iraq",3892.58,5022,2978.55,"Iraq"
"119","Federal Democratic Republic of Nepal",6036.11,7791.44,4458.56,"Nepal"
"120","Islamic Republic of Pakistan",4141.39,5064.62,3348.41,"Pakistan"
"121","Republic of Equatorial Guinea",7017.46,9064.14,5474.95,"Equatorial Guinea"
"122","Republic of Paraguay",2493.84,3250.47,1904.52,"Paraguay"
"123","Syrian Arab Republic",4396.75,5916.21,3335.26,"Syria"
"124","Kingdom of Bhutan",4091.8,5391.41,3089.46,"Bhutan"
"125","Palestine",8903.33,11493.4,6790.08,"Palestine"
"126","State of Qatar",4659.47,6147.24,3507.35,"Qatar"
"127","Arab Republic of Egypt",3908.7,5001.21,2908.85,"Egypt"
"128","Hashemite Kingdom of Jordan",3571.95,4672.14,2736.92,"Jordan"
