id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
bbj-a-57,Uric acid,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,109029,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-58,White blood cell count,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,107964,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-59,Zinc sulfate turbidity test,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,12303,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-6,Alanine aminotransferase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,134182,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-60,Estimated glomerular filtration rate,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,143658,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-61,Serum creatinine,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,142097,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-62,Menarche,,public,2019,Ishigaki K,NA,Males and Females,29773799,East Asian,NA,67029,HG19/GRCh37,,Continuous,NA,NA,NA,1,9296729,,,,0,
bbj-a-63,Menopause,,public,2019,Ishigaki K,NA,Males and Females,29773799,East Asian,NA,43861,HG19/GRCh37,,Continuous,NA,NA,NA,1,9296729,,,,0,
bbj-a-7,Activated partial thromboplastin time,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,37767,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-70,Height,,public,2019,Ishigaki K,NA,Males and Females,26367797,East Asian,NA,159095,HG19/GRCh37,,Continuous,NA,NA,NA,1,27211524,,,,0,
