id.exposure,outcome,n_valid,n_missing,min_b,max_b,sign_change,max_abs_shift,any_ci_crosses_zero
ukb-b-4630,DD,264,0,0.176597642842688,0.182338145777642,FALSE,0.00300340731663529,FALSE
ukb-b-13352,IHD,365,0,-1.83459917154849,-1.74305023506738,FALSE,0.0649818435180996,FALSE
ukb-b-13352,DD,365,0,-0.383300407296797,-0.350431796337488,FALSE,0.0173843286425722,FALSE
ukb-b-5076,IHD,78,0,0.682156194642944,0.854884070102894,FALSE,0.0996368532852082,FALSE
ukb-b-5076,DD,78,0,1.143740273162,1.33754189638408,FALSE,0.114060827758328,FALSE
ukb-b-20292,IHD,85,0,0.807091563349688,1.05227585279912,FALSE,0.187364090981391,FALSE
ukb-b-20292,DD,85,0,0.83263700230492,0.999792103673619,FALSE,0.104184682531808,FALSE
ukb-b-16489,IHD,474,0,-0.776019560527662,-0.741697834040137,FALSE,0.0191381481892626,FALSE
ukb-b-16489,DD,474,0,-0.395448403919018,-0.338841101956245,FALSE,0.0348604897540628,FALSE
ukb-b-18009,IHD,195,0,1.53091184168353,1.63104490044461,FALSE,0.0701231577705057,FALSE
ukb-b-18009,DD,195,0,0.422411970098242,0.48654355453103,FALSE,0.0338874219679507,FALSE
ukb-b-19809,IHD,180,0,0.594629538117083,0.663935861611967,FALSE,0.0352503043824303,FALSE
ukb-b-19809,DD,180,0,1.14157309426634,1.22082358047971,FALSE,0.0472950910717904,FALSE
ukb-b-20531,IHD,562,0,0.394466104671473,0.426078069510425,FALSE,0.020198718139371,FALSE
ukb-b-20531,DD,562,0,0.218266814939774,0.242500339608268,FALSE,0.0133926540874668,FALSE
ukb-b-7212,IHD,609,0,0.24014151520097,0.26511438110606,FALSE,0.0132093435339025,FALSE
ukb-b-7212,DD,609,0,0.150698653760834,0.170295629131185,FALSE,0.0115060844092319,FALSE
ukb-b-18096,IHD,601,0,0.269303226692403,0.293612069220477,FALSE,0.0130286604658117,FALSE
ukb-b-18096,DD,601,0,0.150296942059175,0.169606020947537,FALSE,0.0113729551773276,FALSE
