id.exposure,trait,outcome,old_nsnp,new_nsnp,old_b,new_b,old_se,new_se,old_p,new_p,delta_b,same_direction
ukb-b-17360,Illnesses of siblings: None of the above (group 1),IHD,11,73,-5.74532722823861,-2.62123950573167,1.45792443401551,0.400896609122779,8.12245720922288e-05,6.21626939556536e-11,3.12408772250694,TRUE
ukb-b-17360,Illnesses of siblings: None of the above (group 1),DD,73,73,-0.961245721847032,-0.961245721847032,0.243150015861983,0.243150015861983,7.70796821555736e-05,7.70796821555736e-05,2.22044604925031e-16,TRUE
ukb-b-4630,Neuroticism score,IHD,108,264,0.096828449919336,0.0684153040061694,0.0274828284938128,0.0181855142641431,0.00042631396023292,0.000168508183553995,-0.0284131459131666,TRUE
ukb-b-4630,Neuroticism score,DD,265,264,0.177753871979534,0.179334738461007,0.0191044492821127,0.019052453280844,1.34854949542131e-20,4.83622503138775e-21,0.0015808664814731,TRUE
ukb-b-13352,Vascular/heart problems diagnosed by doctor: None of the above,IHD,204,365,-1.95600236881649,-1.80803207858548,0.204917497379099,0.152254373341711,1.3569263113975e-21,1.59491256139009e-32,0.147970290231014,TRUE
ukb-b-13352,Vascular/heart problems diagnosed by doctor: None of the above,DD,367,365,-0.378123299991119,-0.36781612498006,0.100040814273405,0.10010547055803,0.000157023515365651,0.000238515490006694,0.0103071750110591,TRUE
ukb-b-5076,Leisure/social activities: None of the above,IHD,10,78,2.37035840464,0.755247216817686,0.65713447864885,0.284558391227271,0.000309622690342375,0.00795196020998469,-1.61511118782231,TRUE
ukb-b-5076,Leisure/social activities: None of the above,DD,78,78,1.25780110092033,1.25780110092033,0.333511824528162,0.333511824528162,0.000162344735814165,0.000162344735814165,-4.44089209850063e-15,TRUE
ukb-b-20292,Taking other prescription medications,IHD,24,85,1.749260217626,0.994455654331079,0.502395459540441,0.271216640731165,0.00049798258531008,0.000245751769564602,-0.754804563294921,TRUE
ukb-b-20292,Taking other prescription medications,DD,85,85,0.895607421141811,0.895607421141811,0.239630753445601,0.239630753445601,0.000185897702699981,0.000185897702699981,0,TRUE
ukb-b-16489,Qualifications: College or University degree,IHD,238,474,-0.793934897145857,-0.7568814123384,0.121340430105172,0.0981737565526461,6.02819966898774e-11,1.26202430951356e-14,0.0370534848074574,TRUE
ukb-b-16489,Qualifications: College or University degree,DD,472,474,-0.37962858493602,-0.373701591710308,0.101870475150819,0.101655159375141,0.000194094657368241,0.000236762286116166,0.00592699322571211,TRUE
ukb-b-18009,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",IHD,89,195,1.63540451680953,1.60103499945403,0.217990238649434,0.160497341945563,6.27595892779053e-14,1.95192589231612e-23,-0.0343695173554992,TRUE
ukb-b-18009,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",DD,195,195,0.452656132563079,0.452656132563079,0.121789684707972,0.121789684707972,0.000201839175505331,0.000201839175505331,-5.55111512312578e-17,TRUE
ukb-b-19809,Fed-up feelings,IHD,53,180,0.82910613476299,0.628685557229537,0.247906540890757,0.175476683979837,0.000824517592054929,0.000340022176693676,-0.200420577533453,TRUE
ukb-b-19809,Fed-up feelings,DD,180,180,1.18886818533813,1.18886818533813,0.167659934718507,0.167659934718507,1.33194630501275e-12,1.33194630501275e-12,-6.66133814775094e-16,TRUE
ukb-b-20531,Leg fat percentage (right),IHD,352,562,0.395371072926318,0.405879351371054,0.0800877416503377,0.0677306759073028,7.94457947805783e-07,2.06577966459057e-09,0.0105082784447358,TRUE
ukb-b-20531,Leg fat percentage (right),DD,563,562,0.229510390054415,0.229107685520801,0.0626565106023931,0.0627392659424813,0.00024928488258774,0.000260466310950529,-0.000402704533613685,TRUE
ukb-b-7212,Leg fat mass (left),IHD,385,609,0.24450089586003,0.251905037572157,0.0584275690217206,0.0483669652454087,2.85563437038695e-05,1.90676891850927e-07,0.00740414171212733,TRUE
ukb-b-7212,Leg fat mass (left),DD,611,609,0.15558605535828,0.158789544721953,0.0450143201214752,0.0449905276306462,0.000547507302426997,0.000416503900679474,0.00320348936367348,TRUE
ukb-b-18096,Leg fat mass (right),IHD,385,601,0.231314808937086,0.280583408754666,0.0569763898534865,0.0477815604514393,4.91071575046377e-05,4.3002072019578e-09,0.0492685998175795,TRUE
ukb-b-18096,Leg fat mass (right),DD,602,601,0.157342315862042,0.158233065770209,0.0455714772084914,0.0456278443803455,0.000555110776095118,0.000524531140034531,0.000890749908167343,TRUE
