location_id,location_name,ISO3,iso3_mapping_method,match_status,geometry_available,geometry_feature_count,geometry_feature_indices,geometry_feature_names,geometry_feature_or_region_names,polygon_part_count,multipart_value_replication,display_mapping_rule
112,Grenada,GRD,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,87,Grenada,Grenada,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
351,Guam,GUM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,90,Guam,Guam,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
144,Hashemite Kingdom of Jordan,JOR,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,111,Jordan,Jordan,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
82,Hellenic Republic,GRC,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,86,Greece,Greece,40,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
48,Hungary,HUN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,97,Hungary,Hungary,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
26,Independent State of Papua New Guinea,PNG,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,175,Papua New Guinea,Papua New Guinea,26,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
27,Independent State of Samoa,WSM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,238,Samoa,Samoa,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
84,Ireland,IRL,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,103,Ireland,Ireland,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
160,Islamic Republic of Afghanistan,AFG,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,2,Afghanistan,Afghanistan,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
142,Islamic Republic of Iran,IRN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,104,Iran,Iran,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
212,Islamic Republic of Mauritania,MRT,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,151,Mauritania,Mauritania,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
165,Islamic Republic of Pakistan,PAK,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,169,Pakistan,Pakistan,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
115,Jamaica,JAM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,109,Jamaica,Jamaica,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
67,Japan,JPN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,112,Japan,Japan,34,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
140,Kingdom of Bahrain,BHR,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,25,Bahrain,Bahrain,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
76,Kingdom of Belgium,BEL,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,20,Belgium,Belgium,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
162,Kingdom of Bhutan,BTN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,36,Bhutan,Bhutan,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
10,Kingdom of Cambodia,KHM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,117,Cambodia,Cambodia,3,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
78,Kingdom of Denmark,DNK,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,61,Denmark,Denmark,12,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
197,Kingdom of Eswatini,SWZ,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,207,Swaziland,Swaziland,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
194,Kingdom of Lesotho,LSO,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,130,Lesotho,Lesotho,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
148,Kingdom of Morocco,MAR,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,136,Morocco,Morocco,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
90,Kingdom of Norway,NOR,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,164,Norway,Norway,32,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
152,Kingdom of Saudi Arabia,SAU,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,187,Saudi Arabia,Saudi Arabia,4,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
92,Kingdom of Spain,ESP,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,67,Spain,Spain,12,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
93,Kingdom of Sweden,SWE,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,206,Sweden,Sweden,6,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
18,Kingdom of Thailand,THA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,214,Thailand,Thailand,10,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
29,Kingdom of Tonga,TON,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,218,Tonga,Tonga,3,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
89,Kingdom of the Netherlands,NLD,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,163,Netherlands,Netherlands,12,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
