location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status
Kingdom of Bahrain,140,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Bahrain,140,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Belgium,76,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Belgium,76,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Belgium,76,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Bhutan,162,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Bhutan,162,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Bhutan,162,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Cambodia,10,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Cambodia,10,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Cambodia,10,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Denmark,78,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Denmark,78,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Denmark,78,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Eswatini,197,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Eswatini,197,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Eswatini,197,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Lesotho,194,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Lesotho,194,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Lesotho,194,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Morocco,148,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Morocco,148,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Morocco,148,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Norway,90,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Norway,90,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Norway,90,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Saudi Arabia,152,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Saudi Arabia,152,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Saudi Arabia,152,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Spain,92,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Spain,92,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Spain,92,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Sweden,93,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Sweden,93,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Sweden,93,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Thailand,18,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Thailand,18,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Thailand,18,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of Tonga,29,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of Tonga,29,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of Tonga,29,Female,<5 years,30,,,,,not_estimable_constant_series
Kingdom of the Netherlands,89,Female,10-14 years,30,,,,,not_estimable_constant_series
Kingdom of the Netherlands,89,Female,5-9 years,30,,,,,not_estimable_constant_series
Kingdom of the Netherlands,89,Female,<5 years,30,,,,,not_estimable_constant_series
Kyrgyz Republic,37,Female,10-14 years,30,,,,,not_estimable_constant_series
Kyrgyz Republic,37,Female,5-9 years,30,,,,,not_estimable_constant_series
Kyrgyz Republic,37,Female,<5 years,30,,,,,not_estimable_constant_series
Lao People's Democratic Republic,12,Female,10-14 years,30,,,,,not_estimable_constant_series
Lao People's Democratic Republic,12,Female,5-9 years,30,,,,,not_estimable_constant_series
Lao People's Democratic Republic,12,Female,<5 years,30,,,,,not_estimable_constant_series
Lebanese Republic,146,Female,10-14 years,30,,,,,not_estimable_constant_series
Lebanese Republic,146,Female,5-9 years,30,,,,,not_estimable_constant_series
Lebanese Republic,146,Female,<5 years,30,,,,,not_estimable_constant_series
Malaysia,13,Female,10-14 years,30,,,,,not_estimable_constant_series
