location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status,weighted_fdr,bh_family
Lebanese Republic,146,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Malaysia,13,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Mongolia,38,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Montenegro,50,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
New Zealand,72,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
North Macedonia,49,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Northern Mariana Islands,376,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Palestine,149,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
People's Democratic Republic of Algeria,139,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
People's Republic of Bangladesh,161,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
People's Republic of China,6,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Plurinational State of Bolivia,121,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Portuguese Republic,91,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Principality of Andorra,74,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Principality of Monaco,367,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Puerto Rico,385,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Albania,43,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Angola,168,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Armenia,33,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Austria,75,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Azerbaijan,34,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Belarus,57,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Benin,200,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Botswana,193,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Bulgaria,45,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Burundi,175,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Côte d'Ivoire,205,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Cabo Verde,203,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Cameroon,202,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Chad,204,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Chile,98,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Colombia,125,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Costa Rica,126,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Croatia,46,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Cuba,109,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Cyprus,77,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Djibouti,177,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Ecuador,122,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of El Salvador,127,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Equatorial Guinea,172,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Estonia,58,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Fiji,22,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Finland,79,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Ghana,207,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Guatemala,128,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Guinea,208,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Guinea-Bissau,209,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Guyana,113,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Haiti,114,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Honduras,129,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Iceland,83,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of India,163,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Indonesia,11,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Iraq,143,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Italy,86,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Kazakhstan,36,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Kenya,180,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Kiribati,23,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Korea,68,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Latvia,59,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Liberia,210,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Lithuania,60,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Madagascar,181,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Malawi,182,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Maldives,14,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
