location_name,longitude,latitude,analysis,outcome,exposure,bandwidth_km,local_beta,local_se,local_t,ISO3,small_island_excluded
Principality of Andorra,1.5,42.5,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.192375679464496,0.0811123072523377,2.37171997667409,AND,FALSE
Principality of Monaco,7.4167,43.7333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.201114442670223,0.0768675608995796,2.61637601501315,MCO,FALSE
Puerto Rico,-66.061,18.3985,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.00803461650128995,0.457418762103609,-0.0175651223057397,PRI,TRUE
Republic of Albania,19.8186,41.3272,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.209813259561837,0.0733719510669611,2.85958403055626,ALB,FALSE
Republic of Angola,13.2344,-8.8383,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0509665788868214,0.118223523590544,0.431103534549853,AGO,FALSE
Republic of Armenia,44.5144,40.1814,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.152813448831975,0.0825759119494135,1.85058142531431,ARM,FALSE
Republic of Austria,16.3725,48.2083,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.210815086517226,0.077763834356565,2.71096568554723,AUT,FALSE
Republic of Azerbaijan,49.8352,40.3667,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.1349538468569,0.0849460214947613,1.58870120674484,AZE,FALSE
Republic of Belarus,27.5586,53.9006,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.225365942041016,0.0887890548189062,2.53821760464363,BLR,FALSE
Republic of Benin,2.4333,6.3667,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.207230315939344,0.0890052666262608,2.32829273810861,BEN,FALSE
Republic of Botswana,25.9086,-24.6569,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.120006644136841,0.209824565215818,-0.571938009324151,BWA,FALSE
Republic of Bulgaria,23.3217,42.6979,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.207743938694483,0.0746870535311957,2.7815254300762,BGR,FALSE
Republic of Burundi,29.3667,-3.3833,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0326077034855796,0.108300710500316,0.301084852859616,BDI,FALSE
Republic of Cabo Verde,-24.988,16.886,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.24234447071299,0.141478560821664,1.71294130577472,CPV,TRUE
Republic of Cameroon,9.7,4.05,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.177014385426356,0.0874722332945777,2.02366372458138,CMR,FALSE
Republic of Chad,15.0447,12.1053,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.21238727679948,0.0780466589804168,2.72128595348036,TCD,FALSE
Republic of Chile,-70.6506,-33.4372,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.415087943467779,0.631145319966293,-0.657674120898095,CHL,FALSE
Republic of Colombia,-74.0722,4.7111,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.540531327878034,0.4772769617638,1.13253178171533,COL,FALSE
Republic of Costa Rica,-84.08,9.9325,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.281018655621793,0.532814826056125,0.527422740282741,CRI,FALSE
Republic of Cote d'Ivoire,-4.0267,5.3364,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.213639348132201,0.100097786034178,2.13430642770914,CIV,FALSE
Republic of Croatia,15.9772,45.8131,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.209484068953644,0.0756874441048001,2.76775192281013,HRV,FALSE
Republic of Cuba,-82.3589,23.1367,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.510084291726387,0.563777898683484,-0.904761064450237,CUB,TRUE
Republic of Cyprus,33.365,35.1725,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.180658303078351,0.0765356194701337,2.36044738814519,CYP,FALSE
Republic of Djibouti,43.1481,11.5944,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0994245443514169,0.0933224264513226,1.06538747578833,DJI,FALSE
Republic of Ecuador,-79.8875,-2.19,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.555538061555397,0.465948332201424,1.19227395649362,ECU,FALSE
Republic of El Salvador,-89.1914,13.6989,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.00903091009112242,0.56377013407686,0.0160187806080043,SLV,FALSE
Republic of Equatorial Guinea,8.7744,3.7456,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.176939215843183,0.0880058600001925,2.01053902368315,GNQ,FALSE
Republic of Estonia,24.7453,59.4372,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.236042364329991,0.099398807321819,2.37470016683166,EST,FALSE
Republic of Fiji,178.4333,-18.1333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.17140787972919,0.993000250453005,-1.17966524096524,FJI,TRUE
Republic of Finland,24.9375,60.1708,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.23710902260649,0.101139558955199,2.34437469429267,FIN,FALSE
Republic of Ghana,-1.625,6.7,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.215405710499302,0.0947264350867737,2.27397674473848,GHA,FALSE
Republic of Guatemala,-90.5133,14.6417,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.0651344913301551,0.572469850917106,-0.113778029053947,GTM,FALSE
Republic of Guinea,-13.7122,9.5092,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.248819977969436,0.121491402002521,2.04804598406292,GIN,FALSE
Republic of Guinea-Bissau,-15.5667,11.85,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.251016822568457,0.124865754193488,2.01029356839897,GNB,TRUE
Republic of Guyana,-58.155,6.8011,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.577107042796343,0.392921171996008,1.46876036194407,GUY,TRUE
Republic of Haiti,-72.3386,18.5425,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.101642721641486,0.506809718417862,-0.200554010603408,HTI,TRUE
Republic of Honduras,-87.21,14.098,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0101338417402942,0.555583618135987,0.0182399937822028,HND,FALSE
Republic of Iceland,-21.9425,64.1458,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0660204056832119,0.113709733408929,0.580604700265944,ISL,FALSE
Republic of India,77.23,28.61,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.26331198004594,0.106165550287442,2.48020171640449,IND,FALSE
Republic of Indonesia,106.8275,-6.175,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.756949241336163,0.30212705773103,2.50540036705365,IDN,FALSE
Republic of Iraq,44.3661,33.3153,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.140885208411021,0.0825555839918931,1.70654971594478,IRQ,FALSE
Republic of Italy,12.4828,41.8931,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.208960237861513,0.0742372732677965,2.81476175866171,ITA,FALSE
Republic of Kazakhstan,76.915,43.24,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.141166074748477,0.105142928114015,1.34261121770737,KAZ,FALSE
Republic of Kenya,36.8172,-1.2864,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0248525600271727,0.109534838270657,0.226891831124659,KEN,FALSE
Republic of Kiribati,173.0176,1.3382,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.331830070168947,0.804927724647502,-0.412248280197162,KIR,TRUE
Republic of Korea,126.9833,37.5667,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.499675780955021,0.211275807545676,2.36504021335711,KOR,FALSE
Republic of Latvia,24.1069,56.9475,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.231514924971166,0.0937267288855246,2.47010567555315,LVA,FALSE
Republic of Liberia,-10.8014,6.3133,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.236965555934657,0.115696408174137,2.04816691956413,LBR,FALSE
Republic of Lithuania,25.28,54.6872,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.227290275529733,0.0895358202658074,2.53854016029529,LTU,FALSE
Republic of Madagascar,47.525,-18.91,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.112546075814681,0.199003406910493,-0.565548487646252,MDG,FALSE
Republic of Malawi,33.7873,-13.9669,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.0750492511809881,0.14455042162028,-0.519190814801879,MWI,FALSE
Republic of Maldives,73.5089,4.1753,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.359360926924676,0.115319903663337,3.11620904552424,MDV,TRUE
Republic of Mali,-7.9922,12.6458,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.238988529070029,0.106190255005227,2.2505693112637,MLI,FALSE
Republic of Malta,14.5125,35.8983,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.216925899661087,0.0725736384315497,2.98904539374428,MLT,FALSE
Republic of Mauritius,57.5042,-20.1644,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.00220902802441328,0.220466156118159,-0.0100198055942398,MUS,TRUE
Republic of Moldova,28.8353,47.0228,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.208402561122053,0.0797885277047979,2.61193641638686,MDA,FALSE
Republic of Mozambique,32.5764,-25.9153,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.13775847797869,0.228713454386218,-0.602319082401088,MOZ,FALSE
Republic of Namibia,17.0836,-22.57,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.0901485712906931,0.194964802045603,-0.462383826951528,NAM,FALSE
Republic of Nauru,166.925,-0.5456,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.316854778332088,0.656238711564248,-0.48283463433118,NRU,TRUE
Republic of Nicaragua,-86.2514,12.1364,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.137958408185838,0.547008400417755,0.252205282552293,NIC,FALSE
Republic of Niue,-169.921,-19.056,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.30084904833139,1.31192444976165,-0.991557896925946,NIU,TRUE
Republic of Palau,134.4792,7.3419,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.298772465341347,0.348595642506071,0.857074584161343,PLW,TRUE
Republic of Panama,-79.5347,8.9711,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.373600441618671,0.513204316842862,0.727976030905181,PAN,FALSE
Republic of Paraguay,-57.6435,-25.2945,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.0342220246797039,0.474086057916776,-0.0721852585795963,PRY,FALSE
Republic of Peru,-77.0375,-12.06,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.349044744772524,0.420637237423897,0.829799917168946,PER,FALSE
Republic of Poland,21.0111,52.23,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.220172756699877,0.0839536204496845,2.62255225588314,POL,FALSE
Republic of Rwanda,30.0606,-1.9536,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0418635398277644,0.105389324338724,0.397227518920361,RWA,FALSE
Republic of San Marino,12.4817,43.9717,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.207168550048132,0.0749995270650912,2.76226475226081,SMR,FALSE
Republic of Senegal,-17.432,14.6726,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.247774395985958,0.127643211461223,1.94114824556282,SEN,FALSE
Republic of Serbia,20.4569,44.8178,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.210431152965956,0.0753931528222228,2.79111756291919,SRB,FALSE
Republic of Seychelles,55.4525,-4.6231,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0799443838810566,0.13074139580091,0.61146956089404,SYC,TRUE
Republic of Sierra Leone,-13.2331,8.4833,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.24746907001435,0.120799107784555,2.0486001474093,SLE,FALSE
Republic of Singapore,103.8,1.3,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.729729766380219,0.232289963972962,3.14146058615412,SGP,TRUE
Republic of Slovenia,14.5061,46.0514,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.208310327211472,0.0758962480285073,2.74467226803133,SVN,FALSE
Republic of South Africa,28.0456,-26.2044,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.133509600515763,0.228913395026249,-0.583231927080783,ZAF,FALSE
Republic of South Sudan,31.58,4.83,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0910698972365202,0.0925988463522448,0.983488464749241,SSD,FALSE
Republic of Sudan,32.5265,15.6031,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.149656821889233,0.080524100911017,1.85853452812359,SDN,FALSE
Republic of Suriname,-55.2039,5.8522,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.594493071355953,0.367810606368607,1.61630214317467,SUR,TRUE
Republic of Tajikistan,68.78,38.5367,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.119611454048441,0.0980071469165286,1.22043603769338,TJK,FALSE
Republic of Trinidad and Tobago,-61.4,10.5167,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.468948380220373,0.418527641248084,1.1204717060549,TTO,TRUE
Republic of Tunisia,10.1817,36.8064,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.21520238935257,0.0745498802506176,2.88668994006582,TUN,FALSE
Republic of Turkey,28.955,41.0136,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.19834337567865,0.0757852007701885,2.61717820449018,TUR,FALSE
Republic of Uganda,32.5811,0.3136,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0508270428599795,0.102150863356654,0.497568411952816,UGA,FALSE
Republic of Uzbekistan,69.2797,41.3111,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.110173204826123,0.098529140790975,1.11817888537007,UZB,FALSE
Republic of Vanuatu,168.3167,-17.7333,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.02706550658895,0.782243686701737,-1.3129738520735,VUT,TRUE
Republic of Yemen,44.2064,15.3483,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.110691983920001,0.0903695092855496,1.22488198503144,YEM,FALSE
Republic of Zambia,28.2833,-15.4167,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.0597690462905902,0.144476842231224,-0.413692916923907,ZMB,FALSE
