location_name,ISO3,longitude,latitude,small_island_excluded,inferential_unit,display_method,value_duplicated_across_polygons
Republic of Armenia,ARM,44.5144,40.1814,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Austria,AUT,16.3725,48.2083,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Azerbaijan,AZE,49.8352,40.3667,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Belarus,BLR,27.5586,53.9006,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Benin,BEN,2.4333,6.3667,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Botswana,BWA,25.9086,-24.6569,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Bulgaria,BGR,23.3217,42.6979,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Burundi,BDI,29.3667,-3.3833,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Cabo Verde,CPV,-24.988,16.886,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Cameroon,CMR,9.7,4.05,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Chad,TCD,15.0447,12.1053,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Chile,CHL,-70.6506,-33.4372,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Colombia,COL,-74.0722,4.7111,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Costa Rica,CRI,-84.08,9.9325,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Cote d'Ivoire,CIV,-4.0267,5.3364,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Croatia,HRV,15.9772,45.8131,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Cuba,CUB,-82.3589,23.1367,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Cyprus,CYP,33.365,35.1725,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Djibouti,DJI,43.1481,11.5944,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Ecuador,ECU,-79.8875,-2.19,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of El Salvador,SLV,-89.1914,13.6989,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Equatorial Guinea,GNQ,8.7744,3.7456,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Estonia,EST,24.7453,59.4372,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Fiji,FJI,178.4333,-18.1333,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Finland,FIN,24.9375,60.1708,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Ghana,GHA,-1.625,6.7,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Guatemala,GTM,-90.5133,14.6417,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Guinea,GIN,-13.7122,9.5092,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Guinea-Bissau,GNB,-15.5667,11.85,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Guyana,GUY,-58.155,6.8011,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Haiti,HTI,-72.3386,18.5425,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Honduras,HND,-87.21,14.098,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Iceland,ISL,-21.9425,64.1458,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of India,IND,77.23,28.61,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Indonesia,IDN,106.8275,-6.175,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Iraq,IRQ,44.3661,33.3153,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Italy,ITA,12.4828,41.8931,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Kazakhstan,KAZ,76.915,43.24,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Kenya,KEN,36.8172,-1.2864,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Kiribati,KIR,173.0176,1.3382,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Korea,KOR,126.9833,37.5667,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Latvia,LVA,24.1069,56.9475,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Liberia,LBR,-10.8014,6.3133,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Lithuania,LTU,25.28,54.6872,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Madagascar,MDG,47.525,-18.91,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Malawi,MWI,33.7873,-13.9669,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Maldives,MDV,73.5089,4.1753,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Mali,MLI,-7.9922,12.6458,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Malta,MLT,14.5125,35.8983,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Mauritius,MUS,57.5042,-20.1644,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Moldova,MDA,28.8353,47.0228,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Mozambique,MOZ,32.5764,-25.9153,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Namibia,NAM,17.0836,-22.57,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Nauru,NRU,166.925,-0.5456,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Nicaragua,NIC,-86.2514,12.1364,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Niue,NIU,-169.921,-19.056,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Palau,PLW,134.4792,7.3419,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Panama,PAN,-79.5347,8.9711,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Paraguay,PRY,-57.6435,-25.2945,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Peru,PER,-77.0375,-12.06,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Poland,POL,21.0111,52.23,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Rwanda,RWA,30.0606,-1.9536,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of San Marino,SMR,12.4817,43.9717,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Senegal,SEN,-17.432,14.6726,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Serbia,SRB,20.4569,44.8178,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Seychelles,SYC,55.4525,-4.6231,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Sierra Leone,SLE,-13.2331,8.4833,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Singapore,SGP,103.8,1.3,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Slovenia,SVN,14.5061,46.0514,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of South Africa,ZAF,28.0456,-26.2044,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of South Sudan,SSD,31.58,4.83,FALSE,one country or territory,recorded representative coordinate,FALSE
