"location_name","origin","specification","model","year","horizon","IHD_pred","DD_pred"
"Republic of San Marino",2021,"Harmonized","ARIMAX",2030,9,154.873724743288,5085.06170790836
"Republic of Senegal",2021,"Harmonized","ARIMAX",2030,9,399.764145016871,4989.10898051229
"Republic of Serbia",2021,"Harmonized","ARIMAX",2030,9,455.673667893049,2976.02421862226
"Republic of Seychelles",2021,"Harmonized","ARIMAX",2030,9,222.0192341175,2458.04628527984
"Republic of Sierra Leone",2021,"Harmonized","ARIMAX",2030,9,393.249164679667,5320.13535732955
"Republic of Singapore",2021,"Harmonized","ARIMAX",2030,9,175.470111692105,2436.41301398868
"Republic of Slovenia",2021,"Harmonized","ARIMAX",2030,9,196.197492655921,3697.57232576862
"Republic of South Africa",2021,"Harmonized","ARIMAX",2030,9,376.024391624931,5764.85007386299
"Republic of South Sudan",2021,"Harmonized","ARIMAX",2030,9,315.219584453021,5592.70021593103
"Republic of Sudan",2021,"Harmonized","ARIMAX",2030,9,972.85,5486.92944628892
"Republic of Suriname",2021,"Harmonized","ARIMAX",2030,9,407.155313213811,5870.99054459344
"Republic of Tajikistan",2021,"Harmonized","ARIMAX",2030,9,599.86,3365.24219269599
"Republic of Trinidad and Tobago",2021,"Harmonized","ARIMAX",2030,9,420.074550876717,4382.21467043971
"Republic of Tunisia",2021,"Harmonized","ARIMAX",2030,9,877.353430487661,6669.31989084754
"Republic of Turkey",2021,"Harmonized","ARIMAX",2030,9,649.49,4982.89296924811
"Republic of Uganda",2021,"Harmonized","ARIMAX",2030,9,295.806371572095,9256.04945866966
"Republic of Uzbekistan",2021,"Harmonized","ARIMAX",2030,9,1156.08127296447,3745.03160471384
"Republic of Vanuatu",2021,"Harmonized","ARIMAX",2030,9,438.24,2889.18674612469
"Republic of Yemen",2021,"Harmonized","ARIMAX",2030,9,944.466512570392,6031.7127332125
"Republic of Zambia",2021,"Harmonized","ARIMAX",2030,9,309.865437357304,5352.98010002198
"Republic of Zimbabwe",2021,"Harmonized","ARIMAX",2030,9,404.797573618819,3657.91333010298
"Republic of the Congo",2021,"Harmonized","ARIMAX",2030,9,393.200509813212,7563.35442284002
"Republic of the Gambia",2021,"Harmonized","ARIMAX",2030,9,417.995978993557,7412.61749267004
"Republic of the Marshall Islands",2021,"Harmonized","ARIMAX",2030,9,374.06,2716.37275828317
"Republic of the Niger",2021,"Harmonized","ARIMAX",2030,9,359.080588085745,4836.55732448964
"Republic of the Philippines",2021,"Harmonized","ARIMAX",2030,9,191.653783868884,3201.75048091999
"Republic of the Union of Myanmar",2021,"Harmonized","ARIMAX",2030,9,241.69,1936.52045566448
"Romania",2021,"Harmonized","ARIMAX",2030,9,338.766973888024,2770.24742650134
"Russian Federation",2021,"Harmonized","ARIMAX",2030,9,787.426610047208,3782.10304382691
"Saint Kitts and Nevis",2021,"Harmonized","ARIMAX",2030,9,389.369869776689,4616.88020839965
"Saint Lucia",2021,"Harmonized","ARIMAX",2030,9,391.954062759767,4058.40089930907
"Saint Vincent and the Grenadines",2021,"Harmonized","ARIMAX",2030,9,374.87723516489,3842.28344893199
"Slovak Republic",2021,"Harmonized","ARIMAX",2030,9,318.6,2799.2777097173
"Socialist Republic of Viet Nam",2021,"Harmonized","ARIMAX",2030,9,231.884093111222,2718.4252318434
"Solomon Islands",2021,"Harmonized","ARIMAX",2030,9,432.283453334919,2902.59223216738
"State of Eritrea",2021,"Harmonized","ARIMAX",2030,9,310.071451995153,6051.55376746549
"State of Israel",2021,"Harmonized","ARIMAX",2030,9,153.19,5556.70479172746
"State of Kuwait",2021,"Harmonized","ARIMAX",2030,9,1069.4787615587,4794.7093182312
"State of Libya",2021,"Harmonized","ARIMAX",2030,9,923.919699284526,5461.13508260892
