location_name,IHD_to_DD_status,IHD_to_DD_p,IHD_to_DD_BG_p,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_p,DD_to_IHD_BG_p,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,direction
Principality of Monaco,fit_ok,0.525057326786545,0.331929061969348,,fit_ok,0.000362114380557818,0.149636556103526,,0.674888507351795,0.000482819174077091,DD_to_IHD
Puerto Rico,fit_ok,0.0459736447416143,0.0204681285274665,,fit_ok,0.0000000000000000000345866660870574,0.0791147921760356,,0.643310528444996,0.000000000000000000167992378137136,DD_to_IHD
Republic of Albania,fit_ok,0.5609182380295,0.976030870055769,,fit_ok,0.00000116000477836935,0.0165419602500957,,0.674888507351795,0.00000186331476210509,DD_to_IHD
Republic of Angola,fit_ok,0.356675434894303,0.0696093891758017,,fit_ok,0.00000000000000000000000982584750903016,0.00896288405250727,,0.648510394626042,0.0000000000000000000000770951112246982,DD_to_IHD
Republic of Armenia,fit_ok,0.66625049808162,0.644827409372125,,fit_ok,0.000000000000000000000000000109450327793442,0.037988454280421,,0.704223324397153,0.0000000000000000000000000223278668698622,DD_to_IHD
Republic of Austria,fit_ok,0.012676746015033,0.820591336027915,,fit_ok,0.0000000000000000636749420723667,0.0272435195928532,,0.431009364511121,0.000000000000000212945707914144,DD_to_IHD
Republic of Azerbaijan,fit_ok,0.460062154091066,0.0915037814904468,,fit_ok,0.0000000000000000000000000144458929009606,0.0225289786179103,,0.674888507351795,0.000000000000000000000000294696215179596,DD_to_IHD
Republic of Belarus,fit_ok,0.238863662574467,0.609327548613618,,fit_ok,0.00000000000000000043019452241235,0.00243782041999629,,0.648510394626042,0.00000000000000000182832672025249,DD_to_IHD
Republic of Benin,fit_ok,0.401207734089128,0.704050923808821,,fit_ok,0.000000000000000000000000149878165980772,0.0909935589496491,,0.654771022033457,0.00000000000000000000000254792882167312,DD_to_IHD
Republic of Botswana,fit_ok,0.394192592811908,0.821697900827713,,fit_ok,0.00000000000000313295090880846,0.012069856973257,,0.648510394626042,0.00000000000000863678358644495,DD_to_IHD
Republic of Bulgaria,fit_ok,0.37175163898187,0.162706160518978,,fit_ok,0.000000000371474604422208,0.0148058979298959,,0.648510394626042,0.000000000721722088591719,DD_to_IHD
Republic of Burundi,fit_ok,0.259622363976149,0.00846120117824139,,fit_ok,0.000000000000000000000000856017478841255,0.00659005084557883,,0.648510394626042,0.00000000000000000000000979812130192913,DD_to_IHD
Republic of Cabo Verde,fit_ok,0.342463789133477,0.0123983116493019,,fit_ok,0.00000468232241774691,0.0340681418590892,,0.648510394626042,0.000007075509431262,DD_to_IHD
Republic of Cameroon,fit_ok,0.347869251607151,0.181050199590611,,fit_ok,0.00012119236030292,0.00341006778722844,,0.648510394626042,0.000164821610011971,DD_to_IHD
Republic of Chad,fit_ok,0.0173487264564618,0.204377522621424,,fit_ok,0.0000000000000000000000000294283524117484,0.0129921791180796,,0.505591456731173,0.000000000000000000000000545762171999697,DD_to_IHD
Republic of Chile,fit_ok,0.363525415629369,0.072796208187607,,fit_ok,0.00000000000000000000122555957714019,0.0248511867415936,,0.648510394626042,0.0000000000000000000069448376037944,DD_to_IHD
Republic of Colombia,fit_ok,0.236038630091673,0.0308375529044678,,fit_ok,0.0000035902248697672,0.00161513955945095,,0.648510394626042,0.00000554852934418568,DD_to_IHD
Republic of Costa Rica,fit_ok,0.254603190818111,0.135972707107478,,fit_ok,0.0000000000000000000000000125073888748229,0.0206330490528366,,0.648510394626042,0.000000000000000000000000283500814495986,DD_to_IHD
Republic of Croatia,fit_ok,0.347162576235985,0.280721027709681,,fit_ok,0.0000000000000957380670202754,0.00370871614495257,,0.648510394626042,0.000000000000227099600838793,DD_to_IHD
Republic of Cuba,fit_ok,0.724349025073367,0.425222874213478,,fit_ok,0.00000000000733251524081795,0.0141606389389039,,0.742548749321441,0.0000000000154209598879058,DD_to_IHD
Republic of Cyprus,fit_ok,0.539112502845682,0.845770374152513,,fit_ok,0.00000000107100158188517,0.0555923481999238,,0.674888507351795,0.00000000204190955798668,DD_to_IHD
Republic of Côte d'Ivoire,fit_ok,0.387705603389056,0.0542585331961726,,fit_ok,0.0000852982229185146,0.00833438791321758,,0.648510394626042,0.000118373044050184,DD_to_IHD
Republic of Djibouti,fit_ok,0.630779632081667,0.876837947751756,,fit_ok,0.00000000000434558557534448,0.575326607725156,,0.693557774362893,0.00000000000923436934760702,DD_to_IHD
Republic of Ecuador,fit_ok,0.351000462452056,0.0510817890099789,,fit_ok,0.00000000000000021728146740079,0.0568684262552082,,0.648510394626042,0.000000000000000681929528457865,DD_to_IHD
Republic of El Salvador,fit_ok,0.20183920426537,0.178134791278266,,fit_ok,0.0000000000000000373538184514728,0.606574269542744,,0.648510394626042,0.000000000000000131382395932767,DD_to_IHD
Republic of Equatorial Guinea,fit_ok,0.117306654099268,0.319081497589231,,fit_ok,0.00000000000000823081720373018,0.0845323609886409,,0.648510394626042,0.0000000000000215267526866789,DD_to_IHD
Republic of Estonia,fit_ok,0.336844031745782,0.769045708685592,,fit_ok,0.00000000000000000000620893185180451,0.017445191355982,,0.648510394626042,0.0000000000000000000308932218967834,DD_to_IHD
Republic of Fiji,fit_ok,0.591223305258168,0.853349975375394,,fit_ok,0.000000000000000000000000200799107906216,0.0682789337575953,,0.674888507351795,0.00000000000000000000000315100138560523,DD_to_IHD
Republic of Finland,fit_ok,0.062901343054118,0.364631344449406,,fit_ok,0.00429269610653974,0.0137507501894157,,0.648510394626042,0.0052437724894258,DD_to_IHD
Republic of Ghana,fit_ok,0.465755121182903,0.316764820203044,,fit_ok,0.407062163727328,0.00771142094257931,,0.674888507351795,0.415203407001875,Neither
Republic of Guatemala,fit_ok,0.456020711324952,0.468314584061162,,fit_ok,0.00000000000118006239603037,0.000970871722878106,,0.674888507351795,0.0000000000026166600955456,DD_to_IHD
Republic of Guinea,fit_ok,0.604851926545993,0.0895825610669326,,fit_ok,0.0000000000355843570319282,0.0544271030024176,,0.677965895688916,0.0000000000718733547971619,DD_to_IHD
Republic of Guinea-Bissau,fit_ok,0.187920839668257,0.00470840407195188,,fit_ok,0.00000000000209491250338695,0.148697497547668,,0.648510394626042,0.00000000000449854895464146,DD_to_IHD
Republic of Guyana,fit_ok,0.617958468732405,0.0472726153855812,,fit_ok,0.0000168128126444883,0.458143936745607,,0.688871735636123,0.0000244986698533973,DD_to_IHD
Republic of Haiti,fit_ok,0.634113275721905,0.276942076181619,,fit_ok,0.0208497805370269,0.00888351903335713,,0.693557774362893,0.0240302555342005,DD_to_IHD
Republic of Honduras,fit_ok,0.639161086177568,0.155113927949958,,fit_ok,0.000000000000000000522058233278206,0.244115212388915,,0.693557774362893,0.00000000000000000204807460747604,DD_to_IHD
Republic of Iceland,fit_ok,0.278668238853324,0.964266050812267,,fit_ok,0.00000481212405752135,0.0114283821174547,,0.648510394626042,0.00000721818608628202,DD_to_IHD
Republic of India,fit_ok,0.366689562179907,0.938798269521561,,fit_ok,0.000137871831245565,0.0901290947973451,,0.648510394626042,0.000186263930954273,DD_to_IHD
Republic of Indonesia,fit_ok,0.348592960952829,0.0347952636856698,,fit_ok,0.000000000000000000000000287957668829685,0.00862777776824276,,0.648510394626042,0.00000000000000000000000419595460294684,DD_to_IHD
Republic of Iraq,fit_ok,0.00364815006106522,0.364127528906786,,fit_ok,0.000000000190702994411948,0.00269056645171135,,0.372111306228652,0.000000000377703018058615,DD_to_IHD
Republic of Italy,fit_ok,0.176024686244467,0.0404218385163846,,fit_ok,0.00000380087964961107,0.00247549274967399,,0.648510394626042,0.00000582992066556886,DD_to_IHD
Republic of Kazakhstan,fit_ok,0.315217663787847,0.390488287408107,,fit_ok,0.0220630883394559,0.00506722910165045,,0.648510394626042,0.025259200405428,DD_to_IHD
Republic of Kenya,fit_ok,0.468552764342344,0.178678884107333,,fit_ok,0.00000000000000000000604738297039965,0.0899404082939589,,0.674888507351795,0.0000000000000000000308416531490382,DD_to_IHD
Republic of Kiribati,fit_ok,0.453080202671679,0.548474516945422,,fit_ok,0.0198740846198529,0.0574992080146533,,0.674888507351795,0.0230358708093749,DD_to_IHD
Republic of Korea,fit_ok,0.148049461368261,0.42955177069741,,fit_ok,0.000000000000942760175509874,0.006728172044693,,0.648510394626042,0.00000000000211344039345071,DD_to_IHD
Republic of Latvia,fit_ok,0.582084340264678,0.845452494087583,,fit_ok,0.0660535010523815,0.0177211837569106,,0.674888507351795,0.071675075610031,Neither
Republic of Liberia,fit_ok,0.145253312589145,0.0985492259054305,,fit_ok,0.00000402333750228777,0.0292981515045088,,0.648510394626042,0.00000612508097363214,DD_to_IHD
Republic of Lithuania,fit_ok,0.569001189537131,0.324699132189547,,fit_ok,0.0000001182491221426,0.00377336253778359,,0.674888507351795,0.000000196120495260897,DD_to_IHD
Republic of Madagascar,fit_ok,0.573430400215973,0.524422582938015,,fit_ok,0.0000000163228301331091,0.00734090205090638,,0.674888507351795,0.0000000279819945139013,DD_to_IHD
Republic of Malawi,fit_ok,0.31249860108933,0.390492900246324,,fit_ok,0.00000000000000000000000509642926789275,0.0330259019709907,,0.648510394626042,0.0000000000000000000000415868628260049,DD_to_IHD
Republic of Maldives,fit_ok,0.196755344989542,0.109095597849115,,fit_ok,0.000000000000000287998244200528,0.0252810609690372,,0.648510394626042,0.000000000000000890176391165269,DD_to_IHD
Republic of Mali,fit_ok,0.389996733486105,0.653433972184289,,fit_ok,0.00000000000000000000341340636892049,0.00531857111857909,,0.648510394626042,0.0000000000000000000183246026120995,DD_to_IHD
Republic of Malta,fit_ok,0.192969040043522,0.80495714688803,,fit_ok,0.000868857478487835,0.0671531758237448,,0.648510394626042,0.00110779328507199,DD_to_IHD
Republic of Mauritius,fit_ok,0.264408109386867,0.0653304204358751,,fit_ok,0.131180466738972,0.100829783525738,,0.648510394626042,0.137942346467785,Neither
Republic of Moldova,fit_ok,0.507827950186995,0.0944651507567865,,fit_ok,0.000000000000000000928382280473503,0.0151008759449476,,0.674888507351795,0.00000000000000000346805494948134,DD_to_IHD
Republic of Mozambique,fit_ok,0.554191996698137,0.0843599112889876,,fit_ok,0.000000000000000000000000000489593630623089,0.119580055750052,,0.674888507351795,0.0000000000000000000000000260119537432369,DD_to_IHD
Republic of Namibia,fit_ok,0.478943573525824,0.984890769762601,,fit_ok,0.00000000000000475864268142842,0.00958900288992852,,0.674888507351795,0.0000000000000127731987764658,DD_to_IHD
Republic of Nauru,fit_ok,0.115392188616451,0.439898312813421,,fit_ok,0.000669641967935851,0.279468142314352,,0.648510394626042,0.000875685650377652,DD_to_IHD
Republic of Nicaragua,fit_ok,0.428677586543605,0.363045031078754,,fit_ok,0.130766795333784,0.80772014529665,,0.674888507351795,0.137942346467785,Neither
Republic of Niue,fit_ok,0.677218359039995,0.280608478701772,,fit_ok,0.0783189754922613,0.113932372175884,,0.712126521877108,0.0840898473706385,Neither
Republic of Palau,fit_ok,0.289859835368419,0.0147766055464172,,fit_ok,0.00000000000000000253509412327729,0.0173280991120691,,0.648510394626042,0.00000000000000000907296844120294,DD_to_IHD
Republic of Panama,fit_ok,0.176385815528139,0.0138778636011277,,fit_ok,0.000000000000000000845792212827371,0.0036363608180614,,0.648510394626042,0.00000000000000000325550210220346,DD_to_IHD
Republic of Paraguay,fit_ok,0.536128676819384,0.0943603492723963,,fit_ok,0.323835887804522,0.145028416552959,,0.674888507351795,0.333649096525871,Neither
Republic of Peru,fit_ok,0.00697776452110867,0.058934858625412,,fit_ok,0.000000000000000000000101858659639372,0.0262195381316296,,0.431009364511121,0.000000000000000000000629671714134301,DD_to_IHD
Republic of Poland,fit_ok,0.0199736157482778,0.0697703347249304,,fit_ok,0.0980871216627911,0.0227021819621599,,0.509327201581083,0.104763208477536,Neither
Republic of Rwanda,fit_ok,0.158656800747815,0.113078129167241,,fit_ok,0.00000000000805163817964855,0.00385104152141509,,0.648510394626042,0.0000000000167605529453909,DD_to_IHD
