location_name,corrected_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,diagnostics,small_island_excluded,submitted_direction,submitted_IHD_to_DD_p,submitted_IHD_to_DD_q,submitted_DD_to_IHD_p,submitted_DD_to_IHD_q,classification_changed
Kingdom of Sweden,DD_to_IHD,0.200749500315152,0.718816670460909,0.0143931667724225,0.0165887345851649,Residual serial correlation flag,FALSE,Bidirectional,0.0000824355539510435,0.000639154916651662,0.00000000272729727690546,0.0000000057955067134241,TRUE
Kingdom of Thailand,DD_to_IHD,0.572283861761704,0.72919300389818,0.00000000000516661949787659,0.0000000000107550038527227,Influence flag,FALSE,Bidirectional,0.00232271226695024,0.0076424726202879,0.000000000000481836792687318,0.00000000000132830683389477,TRUE
Kingdom of Tonga,DD_to_IHD,0.68933526234612,0.772661502849497,0.000000362140310493236,0.000000555463333388122,Influence flag,TRUE,Bidirectional,0.026597364530851,0.0480164810999435,0.00313126639080719,0.00417502185440958,TRUE
Kingdom of the Netherlands,DD_to_IHD,0.0394788141551611,0.486773875656861,0.0000000000000167397129353962,0.0000000000000416451394978149,Influence flag,FALSE,Bidirectional,0.00811707601029821,0.0201937012939126,0.000000000112418518938284,0.000000000254815309593444,TRUE
Kyrgyz Republic,DD_to_IHD,0.782832481262443,0.814784827436421,0.00000000000000000336520297330085,0.0000000000000000116356170602267,Residual serial correlation flag,FALSE,DD_to_IHD,0.137598685787578,0.185894913249443,0,0,FALSE
Lao People's Democratic Republic,DD_to_IHD,0.246666703444048,0.718816670460909,0.00000000000114137542930716,0.00000000000247702752743255,Influence flag,FALSE,Bidirectional,0.000000511243594791821,0.0000173822822229219,0,0,TRUE
Lebanese Republic,DD_to_IHD,0.243074702843195,0.718816670460909,0.000515503830508677,0.00066140114103,Residual serial correlation flag,FALSE,IHD_to_DD,0.00795900430916308,0.0200448997415959,0.455680574163629,0.471872269692286,TRUE
Malaysia,DD_to_IHD,0.364225471785729,0.718816670460909,0.000000074219939555724,0.000000115579142514257,Influence flag,FALSE,Bidirectional,0.000898956018145047,0.0034601325981432,0.000000000000000111022302462516,0.000000000000000371287700038577,TRUE
Mongolia,DD_to_IHD,0.0318567615919979,0.486773875656861,0.0391857260064648,0.0436824486629443,Influence flag,FALSE,Bidirectional,0.00224269105051766,0.00750014711976399,0.000289708647139286,0.000434562970708929,TRUE
Montenegro,DD_to_IHD,0.645700900450724,0.749405188578252,0.00000000000000000000000000131005129675403,0.0000000000000000000000000534500929075645,Influence flag,FALSE,DD_to_IHD,0.333032593331985,0.383573708779235,0,0,FALSE
New Zealand,DD_to_IHD,0.0499378947515102,0.486773875656861,0.00170037369505958,0.00206473948685806,Residual serial correlation flag,FALSE,Bidirectional,0.00963339254080831,0.0225886445784471,0.00135830341494358,0.0018596905815335,TRUE
North Macedonia,DD_to_IHD,0.394159282235172,0.718816670460909,0.000000000000000000000000616153617425257,0.00000000000000000000000785595862217202,Influence flag,FALSE,DD_to_IHD,0.472172835940753,0.512357758148476,0,0,FALSE
Northern Mariana Islands,Neither,0.423925847162418,0.718816670460909,0.132198981715582,0.139013362216385,Influence flag,TRUE,Neither,0.172501233424572,0.222723111510207,0.09514019703723,0.110906286831971,FALSE
Palestine,DD_to_IHD,0.122368889721457,0.718816670460909,0.00000000156576855629327,0.00000000275359297830885,Residual serial correlation flag,FALSE,Bidirectional,0.00000250439196181063,0.0000464450872917607,0,0,TRUE
People's Democratic Republic of Algeria,DD_to_IHD,0.499285727646197,0.718816670460909,0.0000177915124933694,0.0000248593736208723,Residual serial correlation flag,FALSE,Neither,0.0917519765040697,0.134657577027556,0.286326774076151,0.305814983830025,TRUE
People's Republic of Bangladesh,DD_to_IHD,0.480620457196009,0.718816670460909,0.000000000104983738852744,0.000000000209967477705488,Influence flag,FALSE,DD_to_IHD,0.0757418791325785,0.113612818698868,0.000244345591970951,0.000369233338978327,FALSE
People's Republic of China,Bidirectional,0.00000000848674426270947,0.00000173129582959273,0.00404085423815004,0.00476493794556421,Influence flag,FALSE,Bidirectional,0.0000703591977051499,0.000624055492689155,0.00208328232160193,0.00283326395737863,FALSE
Plurinational State of Bolivia,DD_to_IHD,0.178329876420201,0.718816670460909,0.0000213053794417457,0.0000295666490211981,Residual serial correlation flag,FALSE,Bidirectional,0.00000086664277509918,0.0000206925681260905,0.0000000193928453295911,0.0000000403687800738426,TRUE
Portuguese Republic,DD_to_IHD,0.195053338193063,0.718816670460909,0.00000000174249968204091,0.00000000303820457381492,Influence flag,FALSE,IHD_to_DD,0.0132558337544716,0.0278782483083732,0.134207087096454,0.152101365375981,TRUE
Principality of Andorra,DD_to_IHD,0.247634838863379,0.718816670460909,0.0000000038731944918849,0.00000000647648915036492,Residual serial correlation flag,FALSE,Bidirectional,0.0000410584109420409,0.000470539250122452,0.0000104300976024874,0.0000177311659242285,TRUE
Principality of Monaco,DD_to_IHD,0.525057326786545,0.718816670460909,0.000362114380557818,0.000467540086289841,Influence flag,FALSE,Bidirectional,0.00271717059798671,0.00879845717443315,0.0000000396849018091672,0.0000000793698036183343,TRUE
Puerto Rico,DD_to_IHD,0.0311134231712235,0.486773875656861,0.000000000000000448406016064315,0.00000000000000128837784897353,Residual serial correlation flag,TRUE,Bidirectional,0.0000176703427523517,0.000257482137248553,0,0,TRUE
Republic of Albania,DD_to_IHD,0.471552551681138,0.718816670460909,0.000000208995409977456,0.000000322992906328796,Influence flag,FALSE,DD_to_IHD,0.256282929422341,0.309359275752412,0.0000457131860307491,0.0000728553902365064,FALSE
