location_name,ISO3,longitude,latitude,selected_lag_BIC,primary_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,HC3_direction,IHD_to_DD_p_HC3,IHD_to_DD_q_HC3,DD_to_IHD_p_HC3,DD_to_IHD_q_HC3,IHD_to_DD_BG_p,DD_to_IHD_BG_p,diagnostics,small_island_excluded
French Republic,FRA,2.3522,48.8567,3,DD -> IHD,0.867387605372189,0.87166045071885,0.000000000000000000000000000465882290751559,0.0000000000000000000000000346826049909825,Neither,0.888039909621229,0.916769859708322,0.119081677657932,0.588827216520286,0.0469082463236492,0.0475690447599947,Residual serial correlation flag,FALSE
Gabonese Republic,GAB,9.4544,0.3901,2,DD -> IHD,0.311988818515287,0.718816670460909,0.00000000000000000000000000436008413462131,0.000000000000000000000000127065309066107,DD -> IHD,0.619068185834891,0.916769859708322,0.000620545738715475,0.0164604470780552,0.248214080901806,0.0581037504701105,Influence flag,FALSE
Georgia,GEO,44.7925,41.7225,2,DD -> IHD,0.57979437237034,0.72919300389818,0.000000000000000000000000339716283309186,0.00000000000000000000000533093244577492,DD -> IHD,0.78996320425003,0.916769859708322,0.00123613622099915,0.0252171789083827,0.889038332341027,0.0224775048749351,Residual serial correlation flag,FALSE
Grand Duchy of Luxembourg,LUX,6.1319,49.6117,3,Neither,0.420057466607262,0.718816670460909,0.459783649481229,0.469559436259623,Neither,0.793082993891032,0.916769859708322,0.84458468288595,0.995669705266118,0.637017446110262,0.149291121045701,Influence flag,FALSE
Greenland,GRL,-51.7361,64.1767,2,DD -> IHD,0.630453683721514,0.749405188578252,0.00079779127976687,0.00100462605600273,Neither,0.824583666740706,0.916769859708322,0.345214331085113,0.83943457777099,0.00165005390949962,0.701706569442766,Residual serial correlation flag,FALSE
Grenada,GRD,-61.75,12.05,2,Neither,0.513443721956264,0.718816670460909,0.852723843473201,0.861166653804618,Neither,0.59410511359158,0.916769859708322,0.873170524141622,0.996153877303585,0.359698118770241,0.0767269646306044,Influence flag,TRUE
Guam,GUM,144.7332,13.4692,2,DD -> IHD,0.461820203004317,0.718816670460909,0.0000776600390358372,0.000102874337424096,Neither,0.616781436161404,0.916769859708322,0.960548489159107,0.998138144554251,0.176494071687312,0.0572957364216918,Influence flag,TRUE
Hashemite Kingdom of Jordan,JOR,35.9328,31.9497,3,DD -> IHD,0.778202533216255,0.814119573210851,0.0000000000000000000000049811371249808,0.0000000000000000000000433196487770884,Neither,0.847233541987806,0.916769859708322,0.5661273650126,0.952675610449616,0.326849877291846,0.626989795520842,Influence flag,FALSE
Hellenic Republic,GRC,23.7281,37.9842,3,DD -> IHD,0.0651347624112152,0.531499661275516,0.0000382160067841672,0.0000516295720792723,Neither,0.420701979037732,0.916769859708322,0.113867727753679,0.580725411543763,0.00157329824650684,0.21510220144709,Residual serial correlation flag,FALSE
Hungary,HUN,19.0408,47.4983,2,DD -> IHD,0.4597969257955,0.718816670460909,0.000000000000000000935014814811145,0.00000000000000000346805494948134,Neither,0.584830832397725,0.916769859708322,0.410861606635502,0.891657103762153,0.957757682916572,0.12067198557268,Influence flag,FALSE
Independent State of Papua New Guinea,PNG,147.1494,-9.4789,3,Neither,0.397817339813157,0.718816670460909,0.295169582525804,0.307217320588082,Neither,0.806330560475568,0.916769859708322,0.721896409495097,0.967016766223359,0.0172090479573908,0.0254027356524007,Residual serial correlation flag,TRUE
Independent State of Samoa,WSM,-171.75,-13.8333,3,Neither,0.688563951127304,0.772661502849497,0.460352388489827,0.469559436259623,Neither,0.780478225940453,0.916769859708322,0.643302311392373,0.965817692352022,0.989100605647836,0.895737143560717,Influence flag,TRUE
Ireland,IRL,-6.2603,53.3497,2,Neither,0.221551693922069,0.718816670460909,0.154165952746587,0.161281304411814,Neither,0.517844001214668,0.916769859708322,0.965640353105749,0.998138144554251,0.336345011430465,0.0850917988099694,Influence flag,FALSE
Islamic Republic of Afghanistan,AFG,69.1783,34.5253,3,DD -> IHD,0.701092876169135,0.777594157184573,0.00000424439619326878,0.00000618469159590593,Neither,0.822518014018217,0.916769859708322,0.324308923628388,0.827630372655187,0.681603982000033,0.597989841048567,Influence flag,FALSE
Islamic Republic of Iran,IRN,51.3897,35.6889,3,DD -> IHD,0.396578111880222,0.718816670460909,0.0000000000000000216458928424378,0.0000000000000000735960356642885,Neither,0.584755522897025,0.916769859708322,0.645453423083102,0.965817692352022,0.804381339440413,0.30748451624329,Influence flag,FALSE
