location_name,n_years_levels,n_annual_changes,selected_lag_BIC,lag_selection_warning,lag_selection_error,adf_IHD_level_p,adf_DD_level_p,adf_IHD_log_change_p,adf_DD_log_change_p,IHD_to_DD_status,IHD_to_DD_n,IHD_to_DD_residual_df,IHD_to_DD_F,IHD_to_DD_df_num,IHD_to_DD_df_den,IHD_to_DD_p,IHD_to_DD_p_HC3,IHD_to_DD_beta_lag1,IHD_to_DD_HAC_SE_lag1,IHD_to_DD_HC3_SE_lag1,IHD_to_DD_BG_p,IHD_to_DD_BP_p,IHD_to_DD_Shapiro_p,IHD_to_DD_max_CooksD,IHD_to_DD_condition_number,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_n,DD_to_IHD_residual_df,DD_to_IHD_F,DD_to_IHD_df_num,DD_to_IHD_df_den,DD_to_IHD_p,DD_to_IHD_p_HC3,DD_to_IHD_beta_lag1,DD_to_IHD_HAC_SE_lag1,DD_to_IHD_HC3_SE_lag1,DD_to_IHD_BG_p,DD_to_IHD_BP_p,DD_to_IHD_Shapiro_p,DD_to_IHD_max_CooksD,DD_to_IHD_condition_number,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,IHD_to_DD_q_HC3,DD_to_IHD_q_HC3,direction,direction_HC3,diagnostics,ISO3,small_island_excluded
Democratic Republic of Timor-Leste,30,29,3,,,0.937586275358122,0.99,0.99,0.99,fit_ok,26,18,0.390865777113531,3,18,0.761010257551835,0.866148000547689,-0.0090610896608378,1.25564356781697,1.89810491223565,0.389850585698977,0.227679705898914,0.00000866170087586805,0.978025887305758,2653.41586506458,,fit_ok,26,18,1127.80637249323,3,18,0.0000000000000000000114420317981227,0.197163794304832,-0.356585475182731,0.0112463101550736,0.970408715826693,0.740364035657139,0.408174351184942,0.566510377480178,354.720171758333,2653.41586506458,,0.807147069527652,0.0000000000000000000569310850443177,0.916769859708321,0.772969673482262,DD_to_IHD,Neither,Influence flag,TLS,FALSE
Democratic Republic of the Congo,30,29,3,,,0.99,0.99,0.978522337898762,0.99,fit_ok,26,18,0.994775331530087,3,18,0.41772691743452,0.812619670359418,-0.455674740796375,2.10917907789029,6.20322337401011,0.0767493201919484,0.050058408757783,0.000204391074596058,1143.71651816776,2929.43441315534,,fit_ok,26,18,210.756691361275,3,18,0.0000000000000332015726465569,0.403129999256912,0.2054425681055,0.0124550272702691,0.147793236154669,0.442776926829229,0.682356461888454,0.0163693908788552,37.179004784483,2929.43441315535,,0.718816670460909,0.000000000000077851963447099,0.916769859708321,0.891657103762154,DD_to_IHD,Neither,Influence flag,COD,FALSE
Democratic Socialist Republic of Sri Lanka,30,29,3,,,0.989917908270714,0.99,0.592030949048778,0.964563738826583,fit_ok,26,18,2.3192145922361,3,18,0.109783661476448,0.611196590715143,2.36880050505475,1.90116862356362,3.50136059741203,0.391152033112343,0.0037871147729035,0.00705238176691347,2.78770083677273,1579.84107122175,,fit_ok,26,18,908.755636787402,3,18,0.0000000000000000000789511305267458,0.520584711179043,-0.736225985178945,0.0188037409304851,0.651157603032416,0.00770686894701218,0.308668782214511,0.888515604798661,108.316848794226,1579.84107122175,,0.718816670460909,0.000000000000000000350131100596873,0.916769859708321,0.952675610449615,DD_to_IHD,Neither,Residual serial correlation flag,LKA,FALSE
Dominican Republic,30,29,2,,,0.924954272877422,0.77084315720374,0.977399086103079,0.99,fit_ok,27,21,0.84164950029486,2,21,0.445027973965701,0.734654144122665,0.433361774961468,2.38265800328425,2.13226957118583,0.00841906917499326,0.0358178128926469,0.000117550132223713,18.7116780641292,1266.57747551723,,fit_ok,27,21,191.780376845547,2,21,0.0000000000000323573705765976,0.00325530740204846,-0.090845367553828,0.00536136132871658,0.0528666262654849,0.0488069389546289,0.293995338175021,0.0892283647712619,5.37426901396077,1266.57747551723,,0.718816670460909,0.0000000000000767546929956501,0.916769859708321,0.0553402258348237,DD_to_IHD,Neither,Residual serial correlation flag,DOM,TRUE
Eastern Republic of Uruguay,30,29,2,,,0.907371843992088,0.352099354098332,0.01,0.441263290090279,fit_ok,27,21,0.596911267794391,2,21,0.559584207953355,0.701310763881794,0.236965882032161,0.406303952169518,0.427211709564454,0.0658549532987888,0.440751811714679,0.0000000604025322614254,0.731116805055155,536.126947843938,,fit_ok,27,21,222.246960399288,2,21,0.00000000000000741661016131774,0.188155514229969,0.145075454493584,0.0116696032408736,0.0781578661444715,0.0557599872185002,0.709172946308676,0.000703458163497196,1.06987550129221,536.126947843938,,0.72710304727697,0.0000000000000199077430645897,0.916769859708321,0.752622056919876,DD_to_IHD,Neither,Influence flag,URY,FALSE
Federal Democratic Republic of Ethiopia,30,29,2,,,0.99,0.972246909744213,0.986587512673806,0.99,fit_ok,27,21,1.14809907122534,2,21,0.336364035452612,0.505570364549097,-0.301301484438041,1.07499993832788,1.26098575863826,0.753419946172979,0.214540339439383,0.0000012706008682353,8.60678919692513,656.410308215708,,fit_ok,27,21,2032.12424514292,2,21,0.000000000000000000000000923652423150125,0.00141958571448505,0.54716337703379,0.00877409620459732,0.150286485957503,0.0211707674976839,0.447722347807668,0.445158828600862,17.7038452063467,656.410308215709,,0.718816670460909,0.0000000000000000000000099171102275066,0.916769859708321,0.0263268623413591,DD_to_IHD,DD_to_IHD,Residual serial correlation flag,ETH,FALSE
Federal Democratic Republic of Nepal,30,29,2,,,0.505245910044657,0.636270303691018,0.811674604132068,0.99,fit_ok,27,21,0.723539089046606,2,21,0.496734694017139,0.786023428749602,1.5657270446054,2.2326242300998,5.39790451036419,0.0135462122527017,0.00391549975433862,0.0127748115069794,30.2196433298472,1686.76389590561,,fit_ok,27,21,1296.05766006701,2,21,0.000000000000000000000100725062470002,0.254909792148005,0.15011265138345,0.0030232366497094,0.0945585264261667,0.15016278701172,0.706307095396339,0.0149817875167675,80.3428159289823,1686.76389590561,,0.718816670460909,0.000000000000000000000662835894963886,0.916769859708321,0.816846289062876,DD_to_IHD,Neither,Residual serial correlation flag,NPL,FALSE
Federal Republic of Germany,30,29,2,,,0.01,0.407632826501947,0.01,0.56059132274962,fit_ok,27,21,1.22862867121907,2,21,0.312889979367046,0.43318537938682,1.00000860751801,0.723731984977329,0.843677622626869,0.771079041186744,0.0894820457261565,0.0000293979769896557,1.51793046271595,2424.00832982532,,fit_ok,27,21,59.1847644278422,2,21,0.00000000234174908828434,0.637618244793296,-0.140962909470613,0.0193801477648957,0.150223390932342,0.0923147693982803,0.311352772012716,0.661453836099611,3.43093692187777,2424.00832982532,,0.718816670460909,0.00000000401442700848744,0.916769859708321,0.965817692352022,DD_to_IHD,Neither,Influence flag,DEU,FALSE
Federal Republic of Nigeria,30,29,3,,,0.933712580095406,0.682280568095344,0.944848940866489,0.99,fit_ok,26,18,1.688348805596,3,18,0.205120582516119,0.840596564375738,7.43208341071177,3.8135970108935,14.2268019668335,0.293255067383834,0.688923823027547,0.00000673723636118939,27.3790704205397,4047.633177272,,fit_ok,26,18,128.848486132273,3,18,0.00000000000235993319324517,0.711175394718815,0.379194013085783,0.0232238491436152,0.353258156069775,0.0250254808200886,0.445823434312059,0.7403780688006,82.9687549145474,4047.63317727201,,0.718816670460909,0.0000000000049631584682682,0.916769859708321,0.967016766223358,DD_to_IHD,Neither,Residual serial correlation flag,NGA,FALSE
Federal Republic of Somalia,30,29,3,,,0.958402190407035,0.99,0.99,0.98960226071355,fit_ok,26,18,0.871387379177532,3,18,0.474130162046664,0.80963067067242,3.72723285657652,3.2907683503329,4.57251109616742,0.302778526700774,0.131108161223101,0.000044960653886832,85.2838945075992,5298.1855932507,,fit_ok,26,18,325.498219849033,3,18,0.000000000000000728605667823662,0.502106131749182,0.278509706044081,0.0108270336914669,0.403318842662452,0.266404701117015,0.988897602267335,0.0271050520441217,240.226411891158,5298.18559325071,,0.718816670460909,0.00000000000000203610351008256,0.916769859708321,0.94842269330401,DD_to_IHD,Neither,Influence flag,SOM,FALSE
