location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Grand Duchy of Luxembourg,Male,20,0.40598869241411,0.0757101890371933,0.121613217036121,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.116873010261298,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Greenland,Female,20,-0.522880482037174,0.0180041533962756,0.0644359174182494,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0596387581251629,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Greenland,Male,20,-0.468547389720686,0.037183187765947,0.066538336002221,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0628949665402721,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Hashemite Kingdom of Jordan,Female,20,0.0225523499976723,0.924811652266443,0.943307885311772,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.942596491733105,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Hashemite Kingdom of Jordan,Male,20,0.218154755468446,0.355488509476508,0.447652197118565,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.452181384054118,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Hellenic Republic,Female,20,0.0977857797648415,0.681704388955528,0.78569319405044,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.8028962803254,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Hellenic Republic,Male,20,0.330572830479303,0.154572087299611,0.228497868182034,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.217495237881754,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Hungary,Female,20,0.363942627053438,0.114690066941527,0.210781744649292,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.217091912425033,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Hungary,Male,20,0.730444426013825,0.000255000431698569,0.00133384841196174,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00112625190666868,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Ireland,Female,20,-0.132920425556834,0.576399617767652,0.708346518220488,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.733180313800453,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Ireland,Male,20,-0.236472263328294,0.315488481586737,0.404777674488643,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.404537649776542,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Islamic Republic of Afghanistan,Female,20,-0.125982109989658,0.59663332538562,0.720196440110453,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.74113045887745,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Islamic Republic of Afghanistan,Male,20,-0.0097854468076777,0.967339914998198,0.976917537918973,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.979662716463143,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
